Action	Plot	CODE	SpR	AdN	RecN	LimF	AImp	Cov	Elev	Slp	dNBR	NDVI	GraD
Fire	P1	Fire1	5	0	5	3.125	3	1	151.65	27.59	569	0.2262	0
Fire	P2	Fire2	7	1	1	4.75	2	2	132.64	22.80	568	0.2173	0
Fire	P3	Fire3	6	0	0	8.75	1	3	153.71	30.58	495	0.2530	0
Fire	P4	Fire4	7	1	1	12.8	2	2	135.87	23.54	561	0.2155	0
Fire	P5	Fire5	4	0	0	13.125	1	3	134.87	32.36	536	0.2275	0
Fire	P6	Fire6	5	0	0	9.5	1	0	136.97	24.44	514	0.2169	0
Fire	P7	Fire7	3	1	0	16.6	3	1	251.89	31.17	431	0.2357	0
Fire	P8	Fire8	5	3	3	9.75	3	6	242.26	32.54	415	0.2023	0
Fire	Pol1	Fire9	6	1	0	40.75	2	5	154.16	15.59	353	0.3330	0
Fire	Pol2	Fire10	7	0	1	32.875	3	0	160.62	13.75	561	0.3104	0
Fire	Pol3	Fire11	4	0	3	24.125	3	32	173.25	21.13	427	0.3095	0
Fire	REB1	Fire12	4	6	0	81.175	3	0	220.33	22.88	728	0.2660	0
Fire	REB2	Fire13	5	2	1	83.75	3	0	207.49	22.80	805	0.2799	0
Fire	REB3	Fire14	7	6	2	84.125	3	1	178.92	20.14	700	0.2806	0
Fire	PA1	Fire15	5	2	1	14	2	18	197.92	17.39	305	0.2991	0
Fire	PA2	Fire16	6	0	1	30.125	3	21	252.85	28.65	374	0.2672	0
Fire	PA3	Fire17	6	0	0	20.125	1	2	228.38	23.60	647	0.2683	0
Fire	IN1	Fire18	5	0	0	47.5	1	3	187.27	10.24	442	0.2928	0
Fire	IN2	Fire19	4	0	0	40.625	1	0	174.09	8.22	506	0.2751	0
Fire	IN3	Fire20	4	0	0	19.625	2	13	153.38	9.23	209	0.3174	0
Competition	D1T1	Comp1	6	1	6	53.83	0	77.46	179.93	24.67	-9	0.3743	0
Competition	D1T2	Comp2	4	1	0	73.83	1	83.91	166.58	22.27	-8	0.3816	0
Competition	D1T3	Comp3	4	1	0	63.92	0	70.35	170.87	22.07	-6	0.3740	0
Competition	D2T1	Comp4	6	1	7	82.58	0	100	205.54	21.44	-7	0.3860	0
Competition	D2T2	Comp5	6	3	3	104.47	0	91.95	223.54	24.25	-8	0.3576	0
Competition	D2T3	Comp6	5	2	2	73.58	0	80.23	221.01	22.92	-8	0.3526	0
Competition	D2T4	Comp7	5	1	27	85.42	2	96.49	198.96	19.87	-1	0.3791	0
Competition	D3T1	Comp8	6	4	14	88.25	0	85.31	148.33	23.13	-6	0.4089	0
Competition	D3T2	Comp9	5	1	0	83.83	0	94.19	137.69	22.69	-4	0.3919	0
Competition	D3T3	Comp10	6	1	1	104.33	0	100	127.35	11.65	-5	0.3693	0
Competition	D4T1	Comp11	5	3	4	59.75	0	69.19	175.02	11.79	-10	0.4118	0
Competition	D4T2	Comp12	5	2	17	59.67	0	71.43	167.15	28.19	-5	0.4198	0
Competition	D5T1	Comp13	7	1	0	90.9	0	100	184.81	9.11	-9	0.4134	0
Competition	D5T2	Comp14	8	1	0	92.17	0	100	184.10	16.53	-10	0.4328	0
Competition	D6T1	Comp15	6	1	0	84	0	100	162.80	19.58	-1	0.3582	0
Competition	D6T2	Comp16	5	1	0	45.67	0	98.31	172.40	17.85	-6	0.3858	0
Competition	D6T3	Comp17	6	1	1	86.08	0	100	183.81	22.99	-2	0.3939	0
Competition	D6T4	Comp18	5	2	6	90.83	0	99.42	188.70	21.02	-9	0.3765	0
Competition	D6T5	Comp19	6	1	0	80.42	0	99.42	177.73	12.78	-6	0.3829	0
Competition	D6T6	Comp20	5	1	4	70.92	0	92.53	186.52	15.89	-1	0.3548	0
Mine Tailing	C2p1	Mine Tailing1	1	0	0	99.29	3	0	199.35	4.27	32	0.0766	0
Mine Tailing	C2p2	Mine Tailing2	1	0	0	97.89	3	0	198.18	6.77	32	0.0766	0
Mine Tailing	C2p3	Mine Tailing3	0	0	0	99.45	3	0	198.00	4.60	-33	0.0766	0
Mine Tailing	C2p4	Mine Tailing4	0	0	0	99.26	3	0	198.65	3.02	-27	0.1344	0
Mine Tailing	C2p5	Mine Tailing5	0	0	0	99.25	3	0	199.15	4.18	-22	0.1043	0
Mine Tailing	C2p6	Mine Tailing6	0	0	0	99.82	3	0	199.83	1.95	47	0.1519	0
Mine Tailing	C2p7	Mine Tailing7	0	0	0	100	3	0	200.14	2.77	47	0.1519	0
Mine Tailing	C2p8	Mine Tailing8	0	0	0	100	3	0	200.56	2.75	-30	0.1750	0
Mine Tailing	C2p9	Mine Tailing9	3	0	1	98.42	3	0	200.86	2.54	-30	0.1750	0
Mine Tailing	C2p10	Mine Tailing10	1	0	0	94.95	3	0	199.92	3.65	-30	0.1750	0
Mine Tailing	C2p11	Mine Tailing11	0	0	0	98.31	3	0	199.67	2.10	-21	0.1043	0
Mine Tailing	C2p12	Mine Tailing12	2	0	0	97.9	3	0	199.06	5.46	-21	0.1043	0
Mine Tailing	C2p13	Mine Tailing13	0	0	0	99.025	3	0	198.75	1.02	-21	0.0904	0
Mine Tailing	C2p14	Mine Tailing14	0	0	0	99.38	3	0	198.66	1.20	20	0.0766	0
Lim. seed reception	C3RP1	Ref1	3	0	0	69.5	0	78.53	81.99	20.19	-53	0.3646	0
Lim. seed reception	C3RP2	Ref2	5	0	5	63.125	0	72.25	120.50	12.21	-14	0.4365	0
Lim. seed reception	C3RP3	Ref3	3	0	0	72.25	0	83.53	130.66	9.87	-42	0.4039	0
Lim. seed reception	C3RP4	Ref4	4	0	1	53.625	0	75.43	136.27	7.80	-42	0.3835	0
Lim. seed reception	C3RP5	Ref5	4	0	0	64.07	0	76.02	89.18	9.45	-103	0.3991	0
Lim. seed reception	C3RP6	Ref6	3	0	0	59.07	0	49.71	116.52	18.39	0	0.3528	0
Lim. seed reception	C3RP9	Ref7	3	0	0	27	0	36.26	144.88	13.07	-43	0.3337	0
Lim. seed reception	C3RP12	Ref8	3	0	0	8	0	11.7	60.13	18.07	32	0.3124	0
Lim. seed reception	C3RP13	Ref9	3	0	0	2	0	5.26	61.28	25.97	68	0.2760	0
Lim. seed reception	C3RP14	Ref10	3	0	0	9	0	21.05	65.32	11.52	-21	0.3328	0
Lim. seed reception	C3RP15	Ref11	3	0	0	1	0	4.68	69.24	11.26	114	0.3606	0
Lim. seed reception	C3RP17	Ref12	4	0	0	71.375	0	88.89	86.52	20.55	-40	0.3667	0
Lim. seed reception	C3RP31	Ref13	3	0	0	1	0	4.07	67.24	10.10	22	0.3100	0
Lim. seed reception	C3RP33	Ref14	3	0	0	7	0	21.05	75.10	18.42	32	0.3682	0
Lim. seed reception	C3RP35b	Ref15	3	0	0	61	0	75.98	83.83	13.06	55	0.3741	0
Lim. seed reception	C3RP36	Ref16	3	0	0	13	0	28.49	73.95	13.54	-14	0.4057	0
Lim. seed reception	C3RP39	Ref17	3	0	0	18	0	32.75	84.10	12.71	-14	0.3811	0
Lim. seed reception	C3RP40b	Ref18	4	0	0	78	0	94.32	84.20	18.98	-56	0.3916	0
Lim. seed reception	C3RP21	Ref19	3	0	0	34	0	28.65	88.01	9.11	73	0.2069	0
Lim. seed reception	C3RP22a	Ref20	3	0	0	3	0	8.72	79.97	22.41	43	0.2632	0
Lim. seed reception	C3RP23a	Ref21	3	0	0	3	0	5.2	73.79	21.31	29	0.2236	0
Lim. seed reception	C3RP24a	Ref22	3	0	0	3	0	11.3	102.82	22.50	35	0.2816	0
Lim. seed reception	C3RP26	Ref23	3	0	0	0	0	1.16	102.58	10.59	63	0.2758	0
Lim. seed reception	C3RP27a	Ref24	3	0	0	7	0	11.3	89.48	15.64	83	0.3068	0
Lim. seed reception	C3RP28a	Ref25	3	0	0	17	0	33.15	93.99	22.59	60	0.3173	0
Lim. seed reception	C3RP29a	Ref26	3	0	0	1	0	4.52	109.65	22.07	62	0.3105	0
Compacted Soil	RC601	Trail1	2	0	0	123.87	3	81.82	128.85	8.55	0	0.3714	0
Compacted Soil	RC602	Trail2	2	0	0	101.07	3	85.19	136.10	22.12	0	0.3637	0
Compacted Soil	RC603	Trail3	0	0	0	104	3	83.33	135.48	12.74	0	0.3569	0
Compacted Soil	RC604	Trail4	1	0	0	103.33	3	15.38	146.45	24.63	0	0.2771	0
Compacted Soil	RC605	Trail5	1	0	0	104.53	3	11.11	170.30	15.78	0	0.2559	0
Compacted Soil	RC606	Trail6	2	0	0	90.87	3	3.7	202.73	16.29	0	0.2599	0
Compacted Soil	C6REB	Trail7	0	0	0	96.93	3	78.57	170.85	12.15	346	0.2557	0
Compacted Soil	C6PA1	Trail8	1	0	0	92.67	3	57.95	284.41	13.25	-141	0.3372	0
Compacted Soil	C6PA2	Trail9	1	0	0	104	3	16.45	256.15	5.68	-18	0.2206	0
Compacted Soil	C6CENIZAS	Trail10	0	0	0	99.33	3	0	153.15	12.71	64	0.2851	0
Overgrazing	NE1	Graz1	4	0	1	4.93	1	0	67.20	16.28	41	0.2797	0
Overgrazing	NE2	Graz2	3	3	0	6	2	2	83.45	23.31	1	0.2794	1.72
Overgrazing	NE3	Graz3	3	0	1	12.6	1	0.93	105.71	30.27	50	0.2636	0
Overgrazing	NE4	Graz4	4	3	18	1.68	2	11	112.70	29.10	-66	0.2279	2.02
Overgrazing	NO1	Graz5	2	0	0	3	1	0	89.64	19.58	-5	0.2665	0
Overgrazing	NO2	Graz6	2	2	6	2.5	2	2	108.49	28.30	-23	0.2629	1.57
Overgrazing	NO3	Graz7	2	0	0	0	2	0	133.32	26.82	8	0.2720	0
Overgrazing	NO4	Graz8	3	2	1	12.13	2	7	149.55	17.19	8	0.2670	1.37
Overgrazing	NO5	Graz9	3	1	4	12	2	2.86	147.60	11.48	22	0.2619	0.75
Overgrazing	NO6	Graz10	3	0	10	20.63	2	0	139.18	16.63	2	0.2530	2.6
Overgrazing	SE1	Graz11	5	0	2	9.38	3	0	64.88	22.47	3	0.2694	4
Overgrazing	SE2	Graz12	3	1	7	0	2	1	86.68	27.31	-9	0.2699	4
Overgrazing	SE3	Graz13	2	4	2	3.25	3	1	107.10	23.25	8	0.2537	4
Overgrazing	SE4	Graz14	1	0	0	21.03	1	6.06	118.41	27.87	4	0.2319	0
Overgrazing	SO1	Graz15	2	0	0	17.63	1	0	97.06	18.50	38	0.2724	0
Overgrazing	SO2	Graz16	3	1	33	8.65	2	14	108.42	23.47	7	0.2842	4
Overgrazing	SO3	Graz17	4	0	2	3.25	1	0	125.81	29.58	14	0.2731	0
Overgrazing	SO4	Graz18	3	0	1	2.13	2	0	152.54	20.82	12	0.2575	2
Overgrazing	SO5	Graz19	3	0	6	6.38	2	0	154.40	17.02	-19	0.2722	2.2
Overgrazing	SO6	Graz20	3	0	7	24.63	2	0	137.96	25.90	21	0.2747	2.17
Invasive	B-CH-01	Inv1	0	0	0	60	4	88.46	31.84	18.35	-78	0.3924	0
Invasive	B-CH-02	Inv2	0	0	0	65	4	0	31.19	33.89	42	0.1946	0
Invasive	B-CH-03	Inv3	0	0	0	70	4	0	35.41	27.49	55	0.1900	0
Invasive	B-CH-04	Inv4	0	0	0	85	4	0	33.85	26.10	55	0.1624	0
Invasive	B-CH-05	Inv5	0	0	0	5	4	82.15	39.74	24.14	-93	0.4269	0
Invasive	B-CH-06	Inv6	0	0	0	40	4	100	42.45	13.55	-87	0.4120	0
Invasive	B-CH-07	Inv7	0	0	0	30	4	0	38.92	35.74	-13	0.2542	0
Invasive	B-CH-08	Inv8	0	0	0	35	4	0	43.63	30.01	51	0.1671	0
Invasive	B-CH-09	Inv9	0	0	0	85	4	0	44.56	21.18	-20	0.1779	0
Invasive	CR-ZM-03	Inv10	0	0	0	100	4	30	471.08	1.97	0	0.2653	0
Invasive	CR-ZM-02_A	Inv11	0	0	0	100	4	20	471.62	3.52	0	0.2528	0
Invasive	CR-ZM-02_B	Inv12	0	0	0	100	4	20	471.62	3.52	0	0.2528	0
Invasive	CR-ZM-04	Inv13	0	0	0	60	4	25	468.82	15.12	0	0.2939	0
Invasive	CR-ZM-01_A	Inv14	0	0	0	70	4	30	471.08	1.97	0	0.2653	0
Invasive	CR-ZM-01_B	Inv15	0	0	0	35	4	30	471.08	1.97	0	0.2653	0
Invasive	CR-ZM-01_C	Inv16	0	0	0	70	4	30	471.08	1.97	0	0.2653	0
Invasive	CR-02	Inv17	0	0	0	10	4	0	266.40	16.28	0	0.2348	0
Invasive	B-CE-02	Inv18	0	0	0	50	4	76.86	290.80	30.18	17	0.3600	0
Invasive	B-CE-04	Inv19	0	0	0	5	4	0	287.99	32.93	-17	0.3022	0
Invasive	B-CE-03	Inv20	0	0	0	10	4	15	280.19	25.12	15	0.2919	0
Invasive	B-CE-01	Inv21	0	0	0	100	4	38.98	287.51	18.92	85	0.2496	0
Invasive	B-CE-05	Inv22	0	0	0	100	4	10	278.39	31.12	-3	0.3342	0
